Region,Energy_Source,Temperature_C,Wind_Speed_m_s,Solar_Radiation_kWh_m2,Rainfall_mm,Season,Efficiency_Ratio,Lagged_Production_MWh,Combined_Weather_Index,Energy_Class
North,Hydro,13.82093663,14.36246152,8.83464763,3.350826888,Winter,125.4491087,1419.514155,1.565158109,Medium
North,Solar,36.97278175,19.11047392,4.483190554,48.76715667,Winter,16.32508908,4769.329958,0.621330948,Low
East,Hydro,33.97287503,0.364651654,5.10432489,40.84869536,Winter,155.6370613,1005.077719,0.156377665,High
South,Solar,-2.965159845,3.915559714,6.265925111,42.62737106,Spring,675.5165663,6294.250931,-5.180995759,High
North,Wind,-3.813486148,0.1512575,9.263826067,46.89826157,Spring,626.048277,5550.263638,-3.346411915,Medium
East,Solar,11.94085151,12.94949428,0.191160944,4.255174306,Summer,201.7380578,4132.91869,1.015439766,High
East,Wind,31.47489989,17.96061098,4.768434683,19.27987963,Spring,162.598688,5261.632513,0.699895789,High
South,Wind,39.42742582,4.869645932,6.877220424,3.551744452,Monsoon,39.16322594,8976.089119,0.290566765,Medium
South,Solar,1.7687601,18.5406909,7.227069577,10.53965508,Winter,11.33244907,2043.313593,9.306606403,Low
South,Solar,21.73588219,1.205347806,6.925324315,11.46828885,Summer,279.6062778,323.3886659,0.357614103,High
South,Wind,12.14008855,18.68872054,1.344351294,23.45536055,Summer,175.2458629,8630.482359,1.524576623,High
West,Hydro,38.6461479,7.032453745,2.993955884,13.42810837,Monsoon,179.5260633,5813.459116,0.252897448,High
South,Solar,32.89535154,2.028416569,3.587155254,5.048905341,Spring,152.103702,8917.518709,0.165673804,High
West,Wind,32.72479171,9.717435184,8.044372077,8.374554455,Summer,157.7224939,6009.757712,0.526669146,High
North,Wind,16.09119219,5.135531354,2.787598724,7.363778178,Spring,174.0509397,8120.594791,0.463579719,Medium
East,Hydro,13.66687761,5.697458039,2.107049639,48.6538399,Spring,334.8086122,4353.766297,0.53211787,High
West,Solar,7.303318237,6.145799299,9.57448019,37.96462535,Monsoon,380.422226,7523.61332,1.893252678,High
North,Wind,-2.463102651,16.06051796,0.088632851,48.38807326,Summer,392.4825303,9139.110522,-11.03760614,High
North,Hydro,33.91250693,10.78322553,9.978208557,21.98702433,Spring,33.94358215,5764.017341,0.594670389,Low
West,Wind,31.58054541,6.226153983,6.768212989,13.91842408,Spring,60.58369055,1889.772991,0.398838227,Medium
North,Solar,39.9872953,12.20667567,8.284692994,39.91465986,Monsoon,33.61460998,2761.096389,0.499944398,Medium
North,Hydro,39.84865767,14.32301348,2.946193963,16.3126959,Monsoon,43.77112903,2066.581311,0.422760708,Medium
West,Wind,19.99442675,5.452480015,0.143152777,14.96916869,Spring,117.8452776,2543.884573,0.266529439,Medium
North,Hydro,29.60443368,8.270982031,7.378695186,11.62529961,Monsoon,120.9800465,3133.512949,0.511353269,High
South,Solar,37.51445784,2.437721867,8.34144597,6.483948911,Spring,120.1193268,5595.824489,0.279873285,High
South,Hydro,33.23413258,3.622986991,7.40476132,12.82315305,Summer,95.49641802,5921.117132,0.322127289,Medium
East,Solar,6.130664578,13.62235708,1.428502873,17.76598742,Winter,279.1812489,4322.347498,2.110723312,High
North,Wind,15.27448609,3.628766954,7.534279223,33.69971041,Monsoon,33.0784764,6192.66572,0.685923114,Low
East,Solar,0.812173682,10.50326767,7.689227821,3.128242111,Winter,48.4438677,907.5917636,10.0390463,Low
South,Wind,37.93229623,14.18092523,6.585405157,10.52534698,Spring,30.17006855,969.1035469,0.533395982,Low
South,Wind,22.27785855,2.137538462,7.661159328,40.45118201,Spring,158.0868086,1801.111658,0.420944984,High
South,Solar,5.288926248,11.34624439,8.459214397,7.346096179,Spring,85.0201036,5228.967231,3.149259191,Medium
North,Wind,25.2265308,5.131255674,6.136041142,17.13225733,Winter,77.46649994,2218.547319,0.429614458,Medium
North,Hydro,22.81577082,19.2585375,0.88604714,43.23294609,Spring,92.42639272,2904.515595,0.845850625,Medium
South,Wind,11.11732231,9.670912934,4.876278097,7.746265557,Monsoon,305.1799417,4063.097078,1.200528521,High
